month,oil_price_index,oil_log_change_pct,cpi_index,inflation_yoy_pct,output_gap_pct,status
2025-01,100.0,0.0,120.0,2.4,-0.8,synthetic_calibration
2025-02,102.0,1.98,120.3,2.5,-0.7,synthetic_calibration
2025-03,108.0,5.72,120.8,2.7,-0.5,synthetic_calibration
2025-04,121.0,11.35,121.7,3.1,-0.3,synthetic_calibration
2025-05,126.0,4.05,122.6,3.5,-0.1,synthetic_calibration
2025-06,124.0,-1.60,123.3,3.7,0.0,synthetic_calibration
2025-07,118.0,-4.96,123.8,3.6,0.1,synthetic_calibration
2025-08,115.0,-2.58,124.1,3.4,0.0,synthetic_calibration
2025-09,119.0,3.42,124.6,3.3,-0.1,synthetic_calibration
2025-10,127.0,6.51,125.4,3.6,0.0,synthetic_calibration
2025-11,130.0,2.33,126.2,3.9,0.2,synthetic_calibration
2025-12,128.0,-1.55,126.8,3.8,0.1,synthetic_calibration
